symbol,datasetGroup,binanceArrayPosition,actualNetProfit,actualRank,predictedScore,predictedRank,actualQuartile,predictedQuartile,rankError,absoluteRankError
QQQBUSDT,OutOfSample,3617,-1.790808112335525,58,0.6906378933992486,7,4,1,-51,51
NVDABUSDT,OutOfSample,3593,-0.38973517562196713,51,0.6876877191858951,8.5,4,1,-42.5,42.5
SOXLBUSDT,OutOfSample,3632,-6.357173248228543,60,0.6876877191858951,8.5,4,1,-51.5,51.5
MSTRBUSDT,OutOfSample,3605,1.2046467261945655,4,0.6788371965458343,10.5,1,1,6.5,6.5
SPCXBUSDT,OutOfSample,3596,-1.058746592083142,56,0.6788371965458343,10.5,4,1,-45.5,45.5
INJUSDT,OutOfSample,1113,2.111644872167153,2,0.6546867611211276,13,1,1,11,11
AVAXUSDT,OutOfSample,1052,0.1227367528367156,8,0.6546867611211276,13,1,1,5,5
UNIUSDT,OutOfSample,1042,-0.6445915026535254,53,0.6546867611211276,13,4,1,-40,40
ICPUSDT,OutOfSample,1424,0,29,0.6381625225875397,15,2,1,-14,14
DOTUSDT,OutOfSample,954,0,29,0.6251850189875916,16,2,2,-13,13
CRCLBUSDT,OutOfSample,3592,0.9445948222780676,5,0.6134300034989286,17,1,2,12,12
TRUMPUSDT,OutOfSample,2908,-0.15924542743538672,50,0.5862506705500907,18,4,2,-32,32
FILUSDT,OutOfSample,1105,0,29,0.5514763450185032,19,2,2,-10,10
RAYUSDT,OutOfSample,1566,0,29,0.5411404332319522,20,2,2,-9,9
NEARUSDT,OutOfSample,1097,-0.060666223090151794,49,0.5045432338814434,21,4,2,-28,28
MINAUSDT,OutOfSample,1563,0,29,0.5027881684583555,22,2,2,-7,7
ZROUSDT,OutOfSample,2670,0.3595999999999995,6,0.5013286179802742,23,1,2,17,17
MORPHOUSDT,OutOfSample,3322,2.0610158762057993,3,0.49542826955356706,24,1,2,21,21
GRAMUSDT,OutOfSample,3623,-0.7951502031049242,54,0.4895279211268599,25,4,2,-29,29
APTUSDT,OutOfSample,2108,0.05521301482701779,9,0.4747770500600919,26,1,2,17,17
ASTERUSDT,OutOfSample,3327,0.026019923857868,10,0.46887670163338474,27,1,2,17,17
METUSDT,OutOfSample,3391,0.17979999999999996,7,0.4555906156334801,28,1,2,21,21
ETHFIUSDT,OutOfSample,2540,0,29,0.4526404414201266,29,2,2,0,0
FETUSDT,OutOfSample,472,0,29,0.4344790977490528,30,2,2,1,1
JUPUSDT,OutOfSample,2453,0,29,0.43198922192665146,31.5,2,3,2.5,2.5
SUIUSDT,OutOfSample,2202,0,29,0.43198922192665146,31.5,2,3,2.5,2.5
ENAUSDT,OutOfSample,2556,0,29,0.4216739142197274,33,2,3,4,4
WLDUSDT,OutOfSample,2255,0,29,0.420188525073237,34,2,3,5,5
AEROUSDT,OutOfSample,3646,0,29,0.41322959103801693,35,2,3,6,6
POLUSDT,OutOfSample,2733,0,29,0.41133800243317625,36.5,2,3,7.5,7.5
THEUSDT,OutOfSample,2801,0,29,0.41133800243317625,36.5,2,3,7.5,7.5
ARBUSDT,OutOfSample,2167,0,29,0.40838782821982267,38.5,2,3,9.5,9.5
BLURUSDT,OutOfSample,2364,0,29,0.40838782821982267,38.5,2,3,9.5,9.5
SAGAUSDT,OutOfSample,2576,0,29,0.4024874797931155,40,2,3,11,11
ONDOUSDT,OutOfSample,3044,0,29,0.37487732626442016,41,2,3,12,12
MARSCOINUSDT,OutOfSample,3690,0,29,0.3719271520510666,42,2,3,13,13
REZUSDT,OutOfSample,2613,0,29,0.36708538923287237,43,2,3,14,14
HOLOUSDT,OutOfSample,3251,0,29,0.36012645519765224,44,2,3,15,15
WLFIUSDT,OutOfSample,3226,0,29,0.3365250614908235,45,2,3,16,16
XPLUSDT,OutOfSample,3289,0,29,0.3335748872774699,46,2,4,17,17
IOSTUSDT,OutOfSample,481,0,29,0.32620168360575186,47,2,4,18,18
牛来USDT,OutOfSample,3696,0,29,0.3167528737481303,48,2,4,19,19
PENGUUSDT,OutOfSample,2860,0,29,0.29125989143646097,49,2,4,20,20
FDUSDUSDT,OutOfSample,2259,0,29,0.2855479835590249,50,2,4,21,21
CHIPUSDT,OutOfSample,3564,0,29,0.2813507831878872,51,2,4,22,22
TUTUSDT,OutOfSample,3020,0,29,0.2793215395610995,52,2,4,23,23
UUSDT,OutOfSample,3470,0,29,0.2678469382789034,53,2,4,24,24
SAHARAUSDT,OutOfSample,3154,0,29,0.2665999121211193,54,2,4,25,25
RLUSDUSDT,OutOfSample,3480,0,29,0.25899641563884257,55.5,2,4,26.5,26.5
USD1USDT,OutOfSample,3110,0,29,0.25899641563884257,55.5,2,4,26.5,26.5
SOPHUSDT,OutOfSample,3122,0,29,0.2547992152677049,57,2,4,28,28
USDCUSDT,OutOfSample,422,0,29,0.25014589299878187,58,2,4,29,29
PUMPUSDT,OutOfSample,3256,0,29,0.24594869262764413,59,2,4,30,30
PEPEUSDT,OutOfSample,2210,0,29,0.23567476852915742,60,2,4,31,31
